file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,8540341,JingwenGu0829,2026-04-10,22:38:49,-07:00,2026-04-10T22:38:49-07:00,0,5
style.css,2,css,8540341,JingwenGu0829,2026-04-10,22:38:49,-07:00,2026-04-10T22:38:49-07:00,1,34
style.css,3,css,4ba20847,JingwenGu0829,2026-04-13,14:30:06,-07:00,2026-04-13T14:30:06-07:00,1,72
style.css,4,css,4ba20847,JingwenGu0829,2026-04-13,14:30:06,-07:00,2026-04-13T14:30:06-07:00,1,55
style.css,5,css,4ba20847,JingwenGu0829,2026-04-13,14:30:06,-07:00,2026-04-13T14:30:06-07:00,1,62
style.css,6,css,4ba20847,JingwenGu0829,2026-04-13,14:30:06,-07:00,2026-04-13T14:30:06-07:00,1,23
style.css,7,css,4ba20847,JingwenGu0829,2026-04-13,14:30:06,-07:00,2026-04-13T14:30:06-07:00,1,61
style.css,8,css,4ba20847,JingwenGu0829,2026-04-13,14:30:06,-07:00,2026-04-13T14:30:06-07:00,1,71
style.css,9,css,8540341,JingwenGu0829,2026-04-10,22:38:49,-07:00,2026-04-10T22:38:49-07:00,0,0
style.css,10,css,8540341,JingwenGu0829,2026-04-10,22:38:49,-07:00,2026-04-10T22:38:49-07:00,0,0
style.css,11,css,8540341,JingwenGu0829,2026-04-10,22:38:49,-07:00,2026-04-10T22:38:49-07:00,0,4
style.css,12,css,4ba20847,JingwenGu0829,2026-04-13,14:30:06,-07:00,2026-04-13T14:30:06-07:00,1,23
style.css,13,css,8540341,JingwenGu0829,2026-04-10,22:38:49,-07:00,2026-04-10T22:38:49-07:00,1,32
style.css,14,css,8540341,JingwenGu0829,2026-04-10,22:38:49,-07:00,2026-04-10T22:38:49-07:00,1,9
style.css,15,css,4ba20847,JingwenGu0829,2026-04-13,14:30:06,-07:00,2026-04-13T14:30:06-07:00,2,14
style.css,16,css,4ba20847,JingwenGu0829,2026-04-13,14:30:06,-07:00,2026-04-13T14:30:06-07:00,3,17
style.css,17,css,4ba20847,JingwenGu0829,2026-04-13,14:30:06,-07:00,2026-04-13T14:30:06-07:00,3,50
style.css,18,css,4ba20847,JingwenGu0829,2026-04-13,14:30:06,-07:00,2026-04-13T14:30:06-07:00,3,15
